lease_id,cmu_name,grow_area_name,grow_area_desc,rainfall_thresh_in,longitude,latitude
9611,U096,E04,Newport River,1.5,-76.66236073357909,34.74652804690853
1379452,U149,H03,Stumpy Point,4,-75.76697626251276,35.68255433683159
9202,U061,D03,White Oak River,3,-77.12320772285715,34.67807441208838
8702,U131,B09,Stump Sound,1.5,-77.53936387890721,34.4472784038228
8709,U130,B09,Stump Sound,1.5,-77.49423675150436,34.46732837340718
8803,U126,C02,Sneads Ferry,3,-77.38165851552482,34.56817228407015
883B,U096,E04,Newport River,1.5,-76.66508431508927,34.75391437130032
9702,U142,B08,Topsail Sound,3,-77.69797817163813,34.318337301503426
9703,U142,B08,Topsail Sound,3,-77.69601248295514,34.32094064417077
9707,U142,B08,Topsail Sound,3,-77.69011348238732,34.321905768182944
9802,U118,G06,Silver Lake Ocracoke,4,-75.93024256389263,35.137741426235465
500-A,U092,E04,Newport River,1,-76.7255276299149,34.76413093050636
83-80,U073,E09,Core Sound Atlantic Bay Nelson Bay,4,-76.34506422630942,34.876048159688054
1535442,U113,H01,Roanoke Sound,4,-75.58277497871966,35.80920469350883
96,U128,C01,Mill Creek,1.5,-77.41417229605179,34.51176157941234
9405,U118,G06,Silver Lake Ocracoke,4,-75.95294995503218,35.12348075581709
1610179,U111,H01,Roanoke Sound,4,-75.59736017668368,35.84145250506057
9002,U072,E09,Core Sound Atlantic Bay Nelson Bay,2,-76.39453573048097,34.871114035574855
8816,U091,E04,Newport River,1,-76.74654909136761,34.77031294366706
522-A,U091,E04,Newport River,1,-76.74010466074431,34.77328148607439
15-66A,U092,E04,Newport River,1,-76.73049973497434,34.77414242221384
492,U092,E04,Newport River,1,-76.72737641807828,34.76415059829961
883A,U096,E04,Newport River,1.5,-76.66323012091748,34.75451073882152
793-A,U096,E04,Newport River,1.5,-76.66261463171851,34.753039695673245
793-B,U096,E04,Newport River,1.5,-76.66247764914432,34.75281168931054
WC-12-06,U030,F04,Cedar Island,4,-76.3028983545785,35.002786007003074
448,U091,E04,Newport River,1,-76.7396000763347,34.769769844510996
739,U092,E04,Newport River,1,-76.73553897303327,34.77919136974035
9404,U126,C02,Sneads Ferry,3,-77.38108732468424,34.56362691049794
9709,U096,E04,Newport River,1.5,-76.66675794095286,34.75956286152985
1554609,U106,E06,North River,3,-76.52772683160097,34.700286939232434
336,U130,B09,Stump Sound,1.5,-77.4912085108439,34.46672672666618
906461,U130,B09,Stump Sound,1.5,-77.48299734962924,34.470743312864
846,U146,B08,Topsail Sound,3,-77.56246405768204,34.42178787732104
8921,U144,B08,Topsail Sound,3,-77.60559414884882,34.40039062275695
1590926,U106,E06,North River,3,-76.52772683160097,34.700286939232434
1600550,U126,C02,Sneads Ferry,3,-77.37871880429913,34.5627228216017
282,U131,B09,Stump Sound,1.5,-77.53560891942048,34.4538485591991
631,U131,B09,Stump Sound,1.5,-77.51181803995004,34.459918335295306
5-C-89,U127,C01,Mill Creek,1.5,-77.3677465520715,34.532823427854495
45-C-97,U126,C02,Sneads Ferry,3,-77.37343617790334,34.56602356609629
8817,U126,C02,Sneads Ferry,3,-77.38223760627511,34.5794741925717
9108,U072,E09,Core Sound Atlantic Bay Nelson Bay,2,-76.3967499041709,34.86169235380879
9102,U042,E08,Core Sound Jarrett Bay,2,-76.51393207819461,34.758947472301166
1601764,U072,E09,Core Sound Atlantic Bay Nelson Bay,2,-76.39453573048097,34.871114035574855
624,U126,C02,Sneads Ferry,3,-77.33969342294594,34.55315373439248
9203,U091,E04,Newport River,1,-76.74710155778837,34.77132266836609
1427111,U077,F02,Core Creek Merrimon River South River,4,-76.57608964302644,34.96877715527017
1408350,U080,F03,West Bay,4,-76.39647818100302,34.94251462958468
2101,U055,D01,Bear Creek,1.5,-77.20658917461091,34.64438425959628
1546217,U127,C01,Mill Creek,1.5,-77.37042062152236,34.5204492161004
8910,U144,B08,Topsail Sound,3,-77.64954949015922,34.358034432532286
747,U125,C03,New River,3,-77.40506879389409,34.577531780616745
630,U131,B09,Stump Sound,1.5,-77.5139123599753,34.45818664834463
42-70,U125,C03,New River,3,-77.40303616832642,34.57702436412431
20-66,U125,C03,New River,3,-77.40916677806256,34.57572574963735
603,U091,E04,Newport River,1,-76.74070781858028,34.770846362244036
734,U094,E04,Newport River,1.5,-76.72035659784189,34.760573834997025
149,U129,B09,Stump Sound,1.5,-77.48077521134132,34.48309329962382
2001,U128,C01,Mill Creek,1.5,-77.4068594035627,34.50423910527409
641,U131,B09,Stump Sound,1.5,-77.51547238362895,34.46606477151851
642,U131,B09,Stump Sound,1.5,-77.51734328722395,34.46551746287036
9304,U126,C02,Sneads Ferry,3,-77.39719599309225,34.59172440274475
995969,U128,C01,Mill Creek,1.5,-77.40700209267852,34.50492346558143
841,U094,E04,Newport River,1.5,-76.70872855845255,34.753429748743415
328,U128,C01,Mill Creek,1.5,-77.40008469372658,34.51457984463704
9207,U096,E04,Newport River,1.5,-76.66197378095472,34.7475663409751
1652130,U030,F04,Cedar Island,4,-76.30893333089361,35.000144897660384
145,U092,E04,Newport River,1,-76.72912968309407,34.770992543146896
344-A,U065,D03,White Oak River,2,-77.11578741464677,34.68426911073534
347,U040,E08,Core Sound Jarrett Bay,2,-76.49588184065436,34.78645604997951
857,U041,E08,Core Sound Jarrett Bay,2,-76.50036661145676,34.7772456516788
866,U131,B09,Stump Sound,1.5,-77.53607984429733,34.43804560737226
9201,U074,E09,Core Sound Atlantic Bay Nelson Bay,4,-76.35552822500392,34.82716718980345
1636075,U096,E04,Newport River,1.5,-76.6639074629795,34.752271559998064
1636083,U096,E04,Newport River,1.5,-76.6639074629795,34.752271559998064
164,U131,B09,Stump Sound,1.5,-77.5418226674991,34.44918875986201
1683820,U061,D03,White Oak River,3,-77.12321917257265,34.678060842841624
1618255,U096,E04,Newport River,1.5,-76.66261463171851,34.75303969567326
1627843,U096,E04,Newport River,1.5,-76.66197765614088,34.74756209254035
1632173,U111
